NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
05286424,11,2023,900180,2,,3,8
05286424,11,2023,900180,2,,4,8.3333
05286424,11,2023,900180,2,,5,11.25
05286424,11,2023,980000,2,,1,8290.3333
05286424,11,2023,980000,2,,2,8283.9167
05286424,11,2023,980000,2,,3,8290.3333
05286424,11,2023,980000,2,,4,8290.6667
05286424,11,2023,980000,2,,5,8293.5833
05286424,11,2023,980071,2,,1,7568.1666667
05286424,11,2023,980071,2,,2,7561.75
05286424,11,2023,980071,2,,3,7568.1666667
05286424,11,2023,980071,2,,4,7568.5
05286424,11,2023,980071,2,,5,7571.4166667
05286424,12,2023,900030,2,,1,3751.3333
05286424,12,2023,900030,2,,2,3751.3333
05286424,12,2023,900030,2,,3,3751.3333
05286424,12,2023,900030,2,,4,3751.3333
05286424,12,2023,900030,2,,5,3751.3333
05286424,12,2023,900170,2,,1,4531
05286424,12,2023,900170,2,,2,4531
05286424,12,2023,900170,2,,3,4531
05286424,12,2023,900170,2,,4,4531
05286424,12,2023,900170,2,,5,4531
05286424,12,2023,900180,2,,1,8
05286424,12,2023,900180,2,,2,1.5833
05286424,12,2023,900180,2,,3,8
05286424,12,2023,900180,2,,4,8.3333
05286424,12,2023,900180,2,,5,11.25
05286424,12,2023,980000,2,,1,8290.3333
05286424,12,2023,980000,2,,2,8283.9167
05286424,12,2023,980000,2,,3,8290.3333
05286424,12,2023,980000,2,,4,8290.6667
05286424,12,2023,980000,2,,5,8293.5833
05286424,12,2023,980071,2,,1,7568.1666667
05286424,12,2023,980071,2,,2,7561.75
05286424,12,2023,980071,2,,3,7568.1666667
05286424,12,2023,980071,2,,4,7568.5
05286424,12,2023,980071,2,,5,7571.4166667
05286444,10,2023,900030,2,,1,1672.6667
05286444,10,2023,900030,2,,2,1672.6667
05286444,10,2023,900030,2,,3,1672.6667
05286444,10,2023,900030,2,,4,1672.6667
05286444,10,2023,900030,2,,5,1672.6667
05286444,10,2023,900170,2,,1,2467
05286444,10,2023,900170,2,,2,2467
05286444,10,2023,900170,2,,3,2467
05286444,10,2023,900170,2,,4,2467
05286444,10,2023,900170,2,,5,2467
05286444,10,2023,900180,2,,1,16.6667
05286444,10,2023,900180,2,,2,16.6667
05286444,10,2023,900180,2,,3,16.6667
05286444,10,2023,900180,2,,4,16.6667
