NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
05286424,11,2023,980350,2,8.3333,
05286424,12,2023,005100,2,1000.0000,
05286424,12,2023,005110,2,1000.0000,
05286424,12,2023,005200,2,66666.6667,
05286424,12,2023,005210,2,65833.3333,
05286424,12,2023,005800,2,66666.6667,
05286424,12,2023,005810,2,71250.0000,
05286424,12,2023,900030,2,3751.3333,
05286424,12,2023,900170,2,4531.0000,
05286424,12,2023,900180,2,7.4333,
05286424,12,2023,950004,2,563.5833,
05286424,12,2023,950014,2,158.5833,
05286424,12,2023,980000,2,8289.7667,
05286424,12,2023,980010,2,0.1667,
05286424,12,2023,980020,2,6.5000,
05286424,12,2023,980040,2,0.1667,
05286424,12,2023,980060,2,0.1667,
05286424,12,2023,980071,2,7567.6000,
05286424,12,2023,980090,1,8.3333,
05286424,12,2023,980210,2,8.3333,
05286424,12,2023,980240,2,8.3333,
05286424,12,2023,980270,2,8.3333,
05286424,12,2023,980286,2,8.3333,
05286424,12,2023,980310,2,8.3333,
05286424,12,2023,980330,2,8.3333,
05286424,12,2023,980350,2,8.3333,
05286444,10,2023,005100,2,11943.9167,
05286444,10,2023,005110,2,11943.9167,
05286444,10,2023,005200,2,74220.2500,
05286444,10,2023,005210,2,56977.2500,
05286444,10,2023,005500,2,333.3333,
05286444,10,2023,005510,2,1083.3333,
05286444,10,2023,005800,2,13774.0833,
05286444,10,2023,005810,2,9583.3333,
05286444,10,2023,900030,2,1672.6667,
05286444,10,2023,900170,2,2467.0000,
05286444,10,2023,900180,2,16.6667,
05286444,10,2023,900200,2,137.3333,
05286444,10,2023,900210,2,1666.7500,
05286444,10,2023,950004,2,591.1667,
05286444,10,2023,950014,2,71.0833,
05286444,10,2023,980000,2,5960.4167,
05286444,10,2023,980010,2,0.0833,
05286444,10,2023,980020,2,5.4167,
05286444,10,2023,980040,2,0.0833,
05286444,10,2023,980060,2,0.0833,
05286444,10,2023,980071,2,5285.0000,
05286444,10,2023,980090,1,8.3333,
05286444,10,2023,980220,2,8.3333,
05286444,10,2023,980240,2,8.3333,
05286444,10,2023,980281,2,8.3333,
05286444,10,2023,980286,2,8.3333,
05286444,10,2023,980310,2,8.3333,
05286444,10,2023,980330,2,8.3333,
05286444,10,2023,980350,2,8.3333,
05286444,11,2023,005100,2,11943.9167,
05286444,11,2023,005110,2,11943.9167,
05286444,11,2023,005200,2,74220.2500,
05286444,11,2023,005210,2,56977.2500,
05286444,11,2023,005500,2,333.3333,
05286444,11,2023,005510,2,1083.3333,
05286444,11,2023,005800,2,13774.0833,
05286444,11,2023,005810,2,9583.3333,
05286444,11,2023,900030,2,1672.6667,
05286444,11,2023,900170,2,2467.0000,
05286444,11,2023,900180,2,16.6667,
05286444,11,2023,900200,2,137.3333,
05286444,11,2023,900210,2,1666.7500,
05286444,11,2023,950004,2,591.1667,
05286444,11,2023,950014,2,71.0833,
05286444,11,2023,980000,2,5960.4167,
05286444,11,2023,980010,2,0.0833,
05286444,11,2023,980020,2,5.4167,
05286444,11,2023,980040,2,0.0833,
05286444,11,2023,980060,2,0.0833,
05286444,11,2023,980071,2,5285.0000,
05286444,11,2023,980090,1,8.3333,
05286444,11,2023,980220,2,8.3333,
05286444,11,2023,980240,2,8.3333,
05286444,11,2023,980281,2,8.3333,
05286444,11,2023,980286,2,8.3333,
05286444,11,2023,980310,2,8.3333,
05286444,11,2023,980330,2,8.3333,
05286444,11,2023,980350,2,8.3333,
05286444,12,2023,005100,2,11943.9167,
05286444,12,2023,005110,2,11943.9167,
05286444,12,2023,005200,2,74220.2500,
05286444,12,2023,005210,2,56977.2500,
05286444,12,2023,005500,2,333.3333,
05286444,12,2023,005510,2,1083.3333,
05286444,12,2023,005800,2,13774.0833,
05286444,12,2023,005810,2,9583.3333,
05286444,12,2023,900030,2,1672.6667,
05286444,12,2023,900170,2,2467.0000,
05286444,12,2023,900180,2,16.6667,
05286444,12,2023,900200,2,137.3333,
05286444,12,2023,900210,2,1666.7500,
05286444,12,2023,950004,2,591.1667,
05286444,12,2023,950014,2,71.0833,
05286444,12,2023,980000,2,5960.4167,
05286444,12,2023,980010,2,0.0833,
05286444,12,2023,980020,2,5.4167,
05286444,12,2023,980040,2,0.0833,
05286444,12,2023,980060,2,0.0833,
05286444,12,2023,980071,2,5285.0000,
05286444,12,2023,980090,1,8.3333,
05286444,12,2023,980220,2,8.3333,
05286444,12,2023,980240,2,8.3333,
05286444,12,2023,980281,2,8.3333,
05286444,12,2023,980286,2,8.3333,
05286444,12,2023,980310,2,8.3333,
05286444,12,2023,980330,2,8.3333,
05286444,12,2023,980350,2,8.3333,
05286504,10,2023,005100,2,29.1667,
05286504,10,2023,005800,2,125.0000,
05286504,10,2023,005810,2,50.0000,
05286504,10,2023,900030,2,669.6667,
05286504,10,2023,900190,2,1500.0000,
05286504,10,2023,900220,2,666.6667,
05286504,10,2023,950004,2,121.0000,
05286504,10,2023,980000,2,2169.6667,
05286504,10,2023,980010,2,0.0833,
05286504,10,2023,980020,2,5.5000,
05286504,10,2023,980060,2,0.0833,
05286504,10,2023,980071,2,2048.6667,
05286504,10,2023,980220,2,8.3333,
05286504,10,2023,980260,2,8.3333,
05286504,10,2023,980281,2,8.3333,
05286504,10,2023,980286,2,8.3333,
05286504,10,2023,980300,2,8.3333,
05286504,11,2023,005100,2,29.1667,
05286504,11,2023,005800,2,125.0000,
05286504,11,2023,005810,2,50.0000,
05286504,11,2023,900030,2,669.6667,
05286504,11,2023,900190,2,1500.0000,
05286504,11,2023,900220,2,666.6667,
05286504,11,2023,950004,2,121.0000,
05286504,11,2023,980000,2,2169.6667,
05286504,11,2023,980010,2,0.0833,
05286504,11,2023,980020,2,5.5000,
05286504,11,2023,980060,2,0.0833,
05286504,11,2023,980071,2,2048.6667,
05286504,11,2023,980220,2,8.3333,
05286504,11,2023,980260,2,8.3333,
05286504,11,2023,980281,2,8.3333,
05286504,11,2023,980286,2,8.3333,
05286504,11,2023,980300,2,8.3333,
05286504,12,2023,005100,2,29.1667,
05286504,12,2023,005800,2,125.0000,
05286504,12,2023,005810,2,50.0000,
