NEWID,SEQNO,ALCNO,HSVCODE,HSVCODE_,HSVCD1,HSVCD1_,HSVCD2,HSVCD2_,HSVCD3,HSVCD3_,HSVCD4,HSVCD4_,HSVCD5,HSVCD5_,HSVCD6,HSVCD6_,HSVCD7,HSVCD7_,HSVCD8,HSVCD8_,HSVCD9,HSVCD9_,HSVMO,HSVMO_,HSVGFTC,HSVGFTC_,HSVEXPX,HSVEXPX_,QYEAR
05843252,22,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,220,D,20251
05843272,19,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,59,D,20251
05843272,20,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,70,D,20251
05843272,21,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,35,D,20251
05843282,6,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,,A,124,D,20251
05843282,7,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,,A,180,D,20251
05843312,19,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,1,D,181,D,20251
05843312,20,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,1,D,155,D,20251
05843312,21,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,1,D,620,D,20251
05843322,8,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,125,D,20251
05843372,12,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,50,D,20251
05843372,13,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,200,D,20251
05843432,14,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,65,D,20251
05843432,15,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,109,D,20251
05843462,14,0,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,,A,420,D,20251
05843472,11,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,40,D,20251
05843492,7,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,80,D,20251
05843562,16,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,,A,88,D,20251
05843562,17,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,,A,280,D,20251
05843652,10,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,,A,27,D,20251
05843662,8,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,560,D,20251
05843662,9,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,69,F,20251
05843672,13,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,,A,90,D,20251
05843672,14,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,100,D,20251
05843672,15,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,1,D,600,D,20251
05843722,7,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,,A,143,D,20251
05843722,8,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,,A,143,D,20251
05843722,9,0,900,D,310,D,270,D,,A,,A,,A,,A,,A,,A,,A,01,D,,A,,H,20251
05843722,9,1,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,96,E,20251
05843722,9,2,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,144,E,20251
05843772,10,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,55,D,20251
05843882,5,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,40,D,20251
05843952,23,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,1,D,95,D,20251
05844092,9,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,30,D,20251
05844092,10,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,50,D,20251
05844122,10,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,120,D,20251
05844232,20,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,280,D,20251
05844232,21,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,360,D,20251
05844232,22,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,160,D,20251
05844232,23,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,101,D,20251
05844312,25,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,,A,84,D,20251
05844312,26,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,466,D,20251
05844312,27,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,47,D,20251
05844312,28,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,131,D,20251
