QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20244,05812592,37,0,5,01,D,100,D,.0386,D,130000,D,15,D,1300,D,,A,,A,,A,,A,348,D,633,D,635,D,637,D,319,D,317,D,315,D,,A,03,D,2020,D,1,D,,A,99206,D,98573,D,97938,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05813322,23,0,5,01,D,100,D,.0689,D,10000,D,15,D,379,D,,A,,A,,A,,A,290,D,,A,,A,32,D,,A,,A,57,D,,A,10,D,2024,D,1,D,,A,,A,,A,10000,D,02,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05813322,25,0,5,01,D,100,D,.0690,D,15000,D,15,D,350,D,,A,,A,,A,,A,216,D,57,D,,A,,A,77,D,,A,,A,092024,D,12,D,2021,D,1,D,,A,13328,D,,A,,A,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05817752,41,0,5,01,D,100,D,.0650,D,50000,D,5,D,978,D,,A,,A,,A,,A,0,D,707,D,711,D,715,D,271,D,267,D,263,D,,A,08,D,2024,D,1,D,,A,50000,D,49293,D,48582,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05819942,19,0,1,01,D,100,D,.0600,F,116844,F,15,F,986,F,,A,,A,,A,,A,0,F,429,F,431,F,433,F,557,F,555,F,553,F,,A,08,F,2023,F,1,F,,A,111461,F,111033,F,110602,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05820252,16,0,1,01,D,100,D,.0609,D,9394,D,5,D,182,D,,A,,A,,A,,A,0,D,152,D,152,D,153,D,30,D,30,D,29,D,,A,09,D,2022,D,1,D,,A,5975,D,5823,D,5671,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05821052,23,0,1,02,D,300,D,.0725,D,,T,15,D,178,D,,A,,A,,A,,A,0,F,,V,,V,,V,30,F,29,F,28,F,,A,06,F,2011,D,1,D,,A,5027,F,4802,F,4575,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05824202,22,0,5,01,D,100,D,.0800,D,50000,D,15,D,478,D,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,,A,03,D,2024,D,2,D,,A,49118,D,48968,D,48817,D,01,D,1,D,,A,,A,366,D,500,D,366,D,1,D,2,D
20244,05827062,29,0,5,01,D,100,D,.0689,F,10000,F,15,F,379,F,,A,,A,,A,,A,290,F,,A,,A,32,F,,A,,A,57,F,,A,10,F,2024,F,1,F,,A,,A,,A,10000,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05827162,21,0,5,01,D,100,D,.0386,F,120000,F,18,F,800,F,,A,,A,,A,,A,28,F,445,F,446,F,447,F,327,F,326,F,325,F,,A,12,F,2020,F,1,F,,A,101787,F,101342,F,100896,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
