QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_,SUBPURCH
20241,05291184,44,0,1,310,D,1,D,2,D,12,D,
20241,05291184,45,0,1,330,D,1,D,11,D,13,D,
20241,05291184,46,0,1,370,D,1,D,45,D,11,D,
20241,05291184,47,0,1,400,D,1,D,16,D,10,D,
20241,05291184,48,0,1,400,D,1,D,8,D,11,D,
20241,05291274,30,0,1,100,D,1,D,180,D,13,D,
20241,05291274,31,0,1,100,D,1,D,214,D,13,D,
20241,05291274,32,0,2,100,D,1,D,200,D,10,D,2
20241,05291274,33,0,2,100,D,1,D,100,D,10,D,1
20241,05291274,34,0,2,400,D,1,D,10,D,10,D,
20241,05291294,24,0,1,150,D,1,D,7,D,13,D,
20241,05291294,25,0,1,700,D,1,D,16,D,13,D,
20241,05291294,26,0,1,355,D,1,D,13,D,13,D,
20241,05291294,27,0,1,355,D,1,D,10,D,13,D,
20241,05291294,28,0,1,355,D,1,D,10,D,12,D,
20241,05291394,28,0,1,355,D,1,D,45,D,13,D,
20241,05291414,30,0,1,820,D,1,D,95,D,12,D,
20241,05291414,31,0,1,600,D,1,D,270,D,10,D,
20241,05291414,32,0,1,330,D,1,D,11,D,13,D,
20241,05291414,33,0,1,355,D,1,D,16,D,13,D,
20241,05291424,26,0,1,160,D,1,D,30,D,13,D,
20241,05291424,27,0,1,700,D,1,D,25,D,13,D,
20241,05291494,42,0,1,830,D,1,D,30,D,13,D,
20241,05291494,43,0,1,520,D,1,D,50,D,12,D,
20241,05291494,44,0,1,330,D,1,D,18,D,13,D,
20241,05291494,45,0,1,355,D,1,D,50,D,11,D,
20241,05291494,46,0,1,355,D,1,D,50,D,13,D,
20241,05291534,17,0,1,840,D,1,D,32,D,13,D,
20241,05291534,18,0,1,355,D,1,D,5,D,13,D,
20241,05291534,19,0,1,355,D,1,D,5,D,13,D,
