QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CGTEXPW,CGTEXPW_,OTOBQ,OTOBQ_,JFDBAWQV,JFDB_WQV,JALCHMQV,JALC_MQV,JGREXPQV,JGRE_PQV,JCGEXPQV,JCGE_PQV,JOTOBQV,JOTOBQV_,JFDGFTQV,JFDG_TQV,CGTPURCH,OTBPURCH
20241,05291884,3,0,1,2,D,2,D,520,D,0,D,0,D,,A,,A,0,D,,
20241,05291894,3,0,1,2,D,2,D,260,D,325,D,3250,D,,A,,A,0,D,,
20241,05291914,7,0,1,2,D,2,D,1300,D,0,D,2080,D,,A,,A,0,D,,
20241,05291924,5,0,1,2,D,2,D,1300,D,260,D,2600,D,,A,,A,0,D,,
20241,05291974,6,0,1,2,D,2,D,0,D,0,D,845,D,,A,,A,0,D,,
20241,05292004,2,0,1,2,D,2,D,0,D,0,D,650,D,,A,,A,0,D,,
20241,05292074,9,0,1,2,D,2,D,3250,D,0,D,2860,D,,A,,A,0,D,,
20241,05292084,5,0,1,2,D,2,D,0,D,0,D,845,D,,A,,A,9,D,,
20241,05292094,5,0,1,2,D,2,D,975,D,0,D,1300,D,,A,,A,100,D,,
20241,05292114,11,0,1,2,D,2,D,390,D,0,D,4160,D,,A,,A,0,D,,
20241,05292144,3,0,1,2,D,2,D,0,D,0,D,3900,D,,A,,A,0,D,,
20241,05292184,2,0,1,1,D,2,D,390,D,0,D,780,D,1040,D,,A,200,D,2,
20241,05292234,4,0,1,2,D,2,D,0,D,0,D,7800,D,,A,,A,1000,D,,
20241,05292254,3,0,1,2,D,2,D,1300,D,0,D,1950,D,,A,,A,0,D,,
20241,05292274,6,0,1,2,D,2,D,975,D,0,D,1950,D,,A,,A,0,D,,
20241,05292294,3,0,1,1,D,2,D,1560,D,1300,D,650,D,195,D,,A,0,D,,
20241,05292314,2,0,1,1,D,2,D,1950,D,325,D,2600,D,585,D,,A,0,D,,
20241,05292384,5,0,1,2,D,2,D,650,D,390,D,1300,D,,A,,A,300,D,,
20241,05292434,4,0,1,2,D,2,D,2600,D,0,D,3250,D,,A,,A,0,D,,
20241,05292444,2,0,1,2,D,2,D,4043,D,780,D,4147,D,,A,,A,0,D,,
20241,05292454,3,0,1,2,D,2,D,195,D,0,D,1781,D,,A,,A,0,D,,
20241,05292474,4,0,1,2,D,2,D,1950,D,0,D,4550,D,,A,,A,0,D,,
20241,05292494,3,0,1,2,D,2,D,520,D,0,D,1300,D,,A,,A,0,D,,
20241,05292514,8,0,1,2,D,2,D,520,D,650,D,2600,D,,A,,A,0,D,,
20241,05292544,13,0,1,2,D,2,D,780,D,65,D,1690,D,,A,,A,100,D,,
20241,05292644,6,0,1,2,D,2,D,156,D,104,D,676,D,,A,,A,0,D,,
20241,05292674,3,0,1,2,D,2,D,0,D,0,D,1950,D,,A,,A,0,D,,
20241,05292684,3,0,1,2,D,2,D,1300,D,329,F,3004,F,,A,,A,0,D,,
20241,05292794,9,0,1,2,D,2,D,1430,D,0,D,4030,D,,A,,A,0,D,,
20241,05292824,4,0,1,2,D,2,D,910,D,0,D,2470,D,,A,,A,0,D,,
20241,05292834,2,0,1,2,D,2,D,1300,D,0,D,3770,D,,A,,A,0,D,,
20241,05292844,5,0,1,2,D,2,D,1300,D,0,D,1950,D,,A,,A,100,D,,
20241,05292854,2,0,1,2,D,2,D,0,D,0,D,455,D,,A,,A,0,D,,
