QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FCECODE,FCECODE_,FCESAV,FCESAV_,FCEMO,FCEMO_,FCESCHPD,FCES_HPD,FCESMTX,FCESMTX_,FCENUM2,FCEPURCH,JFCENMQV,FCENUM2_,JFCE_MQV
20243,05556414,11,0,2,301,D,,A,05,D,,A,,A,,,6000,A,D
20243,05556514,6,0,1,700,D,,A,13,D,,A,,A,,,4380,A,D
20243,05556784,14,0,1,225,D,,A,13,D,,A,,A,,,1125,A,D
20243,05556854,6,0,1,303,D,,A,07,D,,A,,A,,,1000,A,D
20243,05556854,7,0,1,365,D,,A,07,D,,A,,A,,,980,A,D
20243,05557264,9,0,1,303,D,,A,07,D,,A,,A,,,315,A,D
20243,05557264,10,0,1,303,D,,A,06,D,,A,,A,,,400,A,D
20243,05557264,11,0,1,310,D,,A,13,D,,A,,A,,,750,A,D
20243,05557394,11,0,1,321,D,,A,,A,4,D,,A,3,,240,D,D
20243,05557474,5,0,1,303,D,,A,07,D,,A,,A,,,1900,A,D
20243,05557874,12,0,1,303,D,,A,07,D,,A,,A,,,2492,A,D
